shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_unique_id,product_create_at,product_category_1,product_category_2,product_category_3,product_name,product_maxrate,product_fabric,product_made,product_is_unit,product_price,product_color,product_size,product_fitting,product_thickness,product_elasticity,product_seethrough,product_lining,product_gloss,product_touch,product_banding,product_image_url,product_link
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7185900,2023-04-03,여성,기타,,H끈팬츠(2칼라),"폴리에스터 95%,스판 5%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,38500,"브라운,차콜","M,S",루즈핏,보통,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7185900_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7183211,2023-04-15,여성,아우터,자켓,Z자켓(2칼라),"폴리에스터 72%,레이온 24%,스판 4%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,42900,"블랙,아이",FREE,기본핏,보통,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7183211_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7170511,2023-04-15,여성,하의,스커트,클랜느sk(2칼라),"폴리에스터 94%,스판 6%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,31900,"베이지,블랙","M,S",기본핏,보통,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170511_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7170503,2023-04-15,여성,탑,티/탑,소프트나시(3칼라),코튼(면) 100%,"드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,13200,"카키,민트,네이비",FREE,기본핏,얇음,좋음,비침없음,안감없음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170503_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7170492,2023-03-05,여성,하의,스커트,언발sk(2칼라),"폴리에스터 80%,레이온 15%,스판 5%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,29700,"연그레이,블랙","M,S",루즈핏,보통,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170492_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7170487,,여성,탑,블라우스,데일bl(2칼라),"폴리에스터 90%,레이온 10%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,39600,"소라,블랙",FREE,루즈핏,얇음,좋음,약간있음,안감없음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7170487_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7155855,2023-04-06,여성,아우터,조끼,링마벨무스탕(1칼라),폴리우레탄 100%,"드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,90200,브라운,FREE,루즈핏,두꺼움,보통,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155855_7.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7155854,2023-01-26,여성,드레스,원피스,발레리나ops(2칼라),"폴리에스터 95%,스판 5%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,52800,"연핑크,블랙",FREE,루즈핏,보통,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155854_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7155853,2023-01-26,여성,하의,스커트,스트링카고sk(2칼라),폴리우레탄 100%,"드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,38500,"카키,블랙",FREE,루즈핏,보통,보통,비침없음,안감있음,광택없음,부드러움,있음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155853_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7155852,2023-04-16,여성,탑,티/탑,톤톤세틴top(2칼라),"폴리에스터 90%,레이온 10%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,30800,"크림,블랙",FREE,기본핏,얇음,보통,비침없음,안감없음,약간있음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7155852_9.png",https://www.linkshops.com/tnc_theot
